Date,Total_Consumption
2019-12-16,5.7
2019-12-17,20.6
2019-12-18,12.9
2019-12-19,15.5
2019-12-20,12.0
2019-12-21,11.6
2019-12-22,13.4
2019-12-23,23.3
2019-12-24,17.8
2019-12-25,20.0
2019-12-26,20.0
2019-12-27,6.8
2019-12-28,15.4
2019-12-29,19.8
2019-12-30,22.9
2019-12-31,15.0
2020-01-01,11.8
2020-01-02,9.2
2020-01-03,2.5
2020-01-04,21.8
2020-01-05,12.3
2020-01-06,5.0
2020-01-07,6.1
2020-01-08,6.2
2020-01-09,10.4
2020-01-10,15.4
2020-01-11,2.4
2020-01-12,22.9
2020-01-13,24.4
2020-01-14,18.9
2020-01-15,12.4
2020-01-16,9.9
2020-01-17,21.2
2020-01-18,8.0
2020-01-19,8.7
2020-01-20,23.0
2020-01-21,30.6
2020-01-22,13.2
2020-01-23,8.6
2020-01-24,18.5
2020-01-25,8.1
2020-01-26,8.2
2020-01-27,13.6
2020-01-28,20.6
2020-01-29,9.8
2020-01-30,9.8
2020-01-31,15.9
2020-02-01,5.7
2020-02-02,7.4
2020-02-03,2.5
2020-02-04,11.0
2020-02-05,6.0
2020-02-06,11.7
2020-02-07,10.5
2020-02-08,4.9
2020-02-09,12.5
2020-02-10,17.9
2020-02-11,9.5
2020-02-12,21.4
2020-02-13,8.8
2020-02-14,17.6
2020-02-15,10.7
2020-02-16,9.3
2020-02-17,12.8
2020-02-18,30.3
2020-02-19,13.8
2020-02-20,20.5
2020-02-21,14.6
2020-02-22,19.7
2020-02-23,6.0
2020-02-24,3.4
2020-02-25,2.4
2020-02-26,2.7
2020-02-27,2.5
2020-02-28,2.5
2020-03-01,22.8
2020-03-02,90.0
2020-03-03,17.4
2020-03-04,42.6
2020-03-05,32.099999999999994
2020-03-06,73.19999999999999
2020-03-07,33.0
2020-03-08,22.5
2020-03-09,31.5
2020-03-10,41.400000000000006
2020-03-11,11.1
2020-03-12,32.7
2020-03-13,37.8
2020-03-14,41.7
2020-03-15,40.8
2020-03-16,44.7
2020-03-17,39.0
2020-03-18,82.80000000000001
2020-03-19,46.8
2020-03-20,53.7
2020-03-21,51.3
2020-03-22,26.700000000000003
2020-03-23,27.6
2020-03-24,74.69999999999999
2020-03-25,77.4
2020-03-26,29.700000000000003
2020-03-27,30.0
2020-03-28,67.5
2020-03-29,33.900000000000006
2020-03-30,30.9
2020-03-31,85.80000000000001
2020-04-01,82.19999999999999
2020-04-02,83.69999999999999
2020-04-03,70.19999999999999
2020-04-04,50.400000000000006
2020-04-05,34.8
2020-04-06,36.3
2020-04-07,45.900000000000006
2020-04-08,28.200000000000003
2020-04-09,53.400000000000006
2020-04-10,38.1
2020-04-11,42.6
2020-04-12,57.6
2020-04-13,20.1
2020-04-14,20.4
2020-04-15,25.5
2020-04-16,33.0
2020-04-17,38.1
2020-04-18,31.200000000000003
2020-04-19,31.5
2020-04-20,26.1
2020-04-21,58.8
2020-04-22,68.69999999999999
2020-04-23,30.0
2020-04-24,28.8
2020-04-25,33.3
2020-04-26,38.7
2020-04-27,33.3
2020-04-28,0.6000000000000001
2020-04-30,16.200000000000003
2020-05-01,52.5
2020-05-02,42.3
2020-05-03,102.9
2020-05-04,58.2
2020-05-05,49.8
2020-05-06,54.900000000000006
